@relation BOOKKEEPER
@attribute Size numeric
@attribute LocTouched numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute AvgLocAdded numeric
@attribute nAuth numeric
@attribute nFix numeric
@attribute nR numeric
@attribute ChgSetSize numeric
@attribute Buggy {Si, No}
@data
20,46,41,36,20.5,2,0,2,376,No
42,62,60,57,30,2,0,2,298,No
46,62,62,62,62,1,0,1,206,No
114,154,142,129,35.5,2,0,4,495,No
58,78,76,73,38,2,0,2,298,No
67,89,86,82,28.67,2,0,3,468,Si
58,74,74,74,74,1,0,1,206,No
27,52,50,48,25,2,0,2,233,No
44,62,61,60,30.5,2,0,2,376,No
47,82,76,70,25.33,2,0,3,403,No
167,221,202,180,50.5,2,0,4,495,Si
37,53,53,53,53,1,0,1,206,No
436,492,472,450,118,2,0,4,468,Si
23,39,39,39,39,1,0,1,206,No
62,86,82,78,41,2,0,2,376,No
48,66,65,64,32.5,2,0,2,376,Si
15,33,32,31,16,2,0,2,376,No
38,65,61,57,30.5,2,0,2,376,No
86,118,111,104,55.5,2,0,2,376,Si
16,32,32,32,32,1,0,1,206,No
211,331,279,226,93,2,0,3,468,No
181,219,208,187,52,3,1,4,470,Si
51,87,81,75,40.5,2,1,2,376,Si
12,28,28,28,28,1,0,1,206,No
36,56,54,52,27,2,1,2,376,Si
410,583,506,428,168.67,2,1,3,468,Si
87,164,134,104,67,2,0,2,376,No
19,35,35,35,35,1,0,1,206,No
82,100,99,98,49.5,2,0,2,376,No
63,109,94,78,31.33,2,0,3,468,Si
42,62,60,57,30,2,0,2,376,No
221,812,406,231,101.5,3,0,4,385,No
155,578,289,171,72.25,3,0,4,385,No
35,51,51,51,51,1,0,1,206,No
41,57,57,57,57,1,0,1,206,No
214,270,250,230,83.33,2,0,3,403,Si
114,142,138,133,46,2,0,3,468,Si
201,238,230,221,57.5,2,0,4,495,Si
44,66,64,61,32,2,0,2,298,No
49,71,68,65,34,2,0,2,376,Si
100,116,116,116,116,1,0,1,206,No
150,188,177,166,88.5,2,0,2,376,No
677,769,731,692,243.67,2,0,3,403,Si
77,109,101,93,33.67,2,0,3,403,Si
244,292,276,260,92,2,0,3,403,No
154,170,170,170,170,1,0,1,206,No
132,204,186,126,23.25,3,1,8,533,Si
96,116,114,112,57,2,0,2,376,No
32,62,55,48,27.5,2,0,2,376,No
60,82,79,76,39.5,2,0,2,376,No
113,133,131,129,65.5,2,1,2,376,Si
37,53,53,53,53,1,0,1,206,No
290,316,311,305,103.67,2,0,3,468,No
38,54,54,54,54,1,0,1,206,No
252,286,277,268,138.5,2,0,2,376,No
36,54,53,52,26.5,2,0,2,376,No
190,240,223,206,111.5,2,0,2,376,No
48,68,66,64,33,2,1,2,376,Si
299,323,319,311,79.75,3,2,4,469,Si
31,47,47,47,47,1,0,1,206,No
73,94,93,92,46.5,2,0,2,376,No
1004,921,701,275,50.07,3,5,14,433,Si
73,69,40,29,13.33,3,0,3,251,Si
156,42,27,12,6.75,2,1,4,228,Si
446,308,146,64,16.22,3,4,9,391,Si
169,92,86,76,17.2,3,1,5,327,Si
528,155,85,42,12.14,3,0,7,390,Si
126,54,35,15,7,3,0,5,381,No
135,20,13,12,4.33,3,0,3,263,No
125,0,0,0,0,1,0,1,55,No
122,261,136,113,27.2,3,0,5,251,No
249,40,31,12,7.75,3,1,4,257,Si
518,1134,636,407,70.67,3,3,9,439,Si
183,15,8,4,2,2,2,4,323,Si
34,6,3,3,1.5,2,0,2,225,No
164,45,23,16,4.6,3,0,5,337,Si
37,10,5,4,1.67,3,0,3,241,Si
135,96,43,26,5.38,3,3,8,423,Si
59,23,12,7,3,3,1,4,349,Si
61,93,47,43,15.67,2,0,3,317,No
740,1641,928,531,77.33,3,5,12,453,Si
228,132,91,33,13,3,0,7,354,Si
147,155,92,28,10.22,3,3,9,429,Si
173,74,46,17,7.67,3,0,6,356,Si
51,18,9,7,2.25,3,0,4,244,No
141,61,44,30,11,3,2,4,343,Si
148,43,23,17,5.75,3,2,4,343,Si
65,2,1,1,0.5,2,0,2,225,Si
63,2,1,1,0.5,2,0,2,225,No
159,47,25,9,3.57,3,2,7,384,Si
130,95,87,71,21.75,3,0,4,257,Si
371,376,280,111,25.45,3,1,11,424,Si
110,89,82,75,27.33,3,0,3,257,No
514,58,35,8,4.38,3,1,8,392,Si
583,190,110,24,12.22,3,4,9,392,Si
136,0,0,0,0,1,0,1,55,Si
155,21,11,8,3.67,2,0,3,317,No
124,21,11,8,3.67,2,0,3,317,No
70,807,68,51,11.33,3,0,6,344,No
218,441,233,101,38.83,3,0,6,390,Si
35,10,5,4,1.67,3,0,3,257,No
20,10,5,5,2.5,2,0,2,225,Si
68,8,4,4,2,2,1,2,225,Si
23,21,11,7,3.67,2,0,3,317,No
49,33,4,4,1.33,3,0,3,257,No
234,42,22,16,5.5,3,0,4,324,No
238,233,157,43,13.08,3,0,12,451,Si
223,76,43,20,7.17,3,0,6,387,No
281,68,34,24,5.67,3,0,6,377,Si
1016,634,477,166,47.7,3,1,10,392,Si
385,164,85,45,17,3,0,5,247,No
52,17,9,6,3,2,0,3,317,No
167,40,25,9,4.17,3,0,6,395,No
132,37,14,8,3.5,3,1,4,355,Si
92,56,41,25,10.25,3,0,4,318,Si
96,25,14,7,2.8,3,0,5,381,No
44,13,8,4,2.67,3,0,3,263,No
111,174,153,131,38.25,1,0,4,185,No
85,151,127,101,21.17,2,3,6,294,Si
49,77,74,61,18.5,2,0,4,152,No
73,106,99,90,33,3,0,3,208,Si
6365,18357,12362,6267,6181,2,0,2,170,No
113,137,133,128,44.33,2,0,3,263,No
97,126,122,116,40.67,2,0,3,137,No
707,1132,930,714,155,2,1,6,207,Si
118,19,13,8,3.25,2,0,4,178,No
94,115,114,113,57,1,0,2,32,No
198,275,247,222,82.33,2,1,3,43,Si
596,277,244,209,48.8,2,0,5,191,Si
242,321,291,246,97,1,1,3,42,Si
54,78,78,78,78,1,0,1,26,No
323,351,348,343,116,1,2,3,67,Si
51,72,72,72,72,1,0,1,27,No
24,42,42,42,42,1,0,1,27,No
349,19,14,14,14,1,0,1,27,Si
198,232,224,216,56,2,4,4,41,Si
359,417,397,377,99.25,2,8,4,41,Si
190,206,206,206,206,1,0,1,2,Si
87,107,106,61,53,1,2,2,70,Si
36,55,55,55,55,1,0,1,38,Si
235,257,255,251,127.5,1,1,2,35,Si
158,193,193,193,193,1,0,1,32,Si
466,514,514,514,514,1,0,1,32,Si
184,204,204,204,204,1,0,1,32,No
120,144,144,144,144,1,0,1,32,Si
80,98,98,98,98,1,0,1,32,Si
73,94,94,94,94,1,1,1,32,Si
26,47,47,47,47,1,0,1,32,No
26,47,47,47,47,1,0,1,32,No
26,47,47,47,47,1,0,1,32,No
25,46,46,46,46,1,0,1,32,No
26,47,47,47,47,1,0,1,32,No
117,136,136,136,136,1,0,1,32,Si
242,261,261,261,261,1,0,1,32,Si
71,90,90,90,90,1,2,1,1,Si
448,720,361,239,30.08,3,7,12,72,Si
164,139,116,61,14.5,3,7,8,34,Si
283,14,12,8,6,1,2,2,4,Si
339,334,253,241,84.33,1,1,3,45,Si
596,210,185,98,46.25,1,2,4,60,Si
230,69,49,42,24.5,1,1,2,37,Si
249,172,172,172,172,1,1,1,4,Si
20,7,7,5,3.5,1,1,2,44,Si
420,105,78,53,26,1,1,3,59,Si
69,25,23,23,23,1,1,1,11,Si
90,4,4,4,4,1,1,1,11,Si
185,4,4,4,4,1,1,1,11,Si
56,5,5,5,5,1,1,1,11,Si
41,5,5,5,5,1,1,1,11,Si
427,19,18,17,9,1,1,2,44,Si
134,42,31,25,10.33,1,2,3,50,Si
58,9,9,5,4.5,1,1,2,44,Si
230,246,246,246,246,1,1,1,11,Si
358,57,46,33,11.5,3,4,4,38,Si
224,29,15,13,7.5,1,1,2,13,Si
883,301,222,95,24.67,3,6,9,70,Si
292,76,70,44,14,3,3,5,41,Si
713,209,163,155,27.17,2,6,6,62,Si
30,446,119,30,17,2,6,7,56,Si
130,42,40,39,20,1,2,2,14,Si
128,59,26,25,13,1,1,2,28,Si
140,42,12,7,6,2,2,2,9,Si
459,65,29,15,7.25,2,4,4,10,Si
123,7,5,5,5,1,1,1,4,Si
9,27,27,27,27,1,0,1,1,No
67,90,89,84,44.5,1,0,2,4,No
39,13,9,9,9,1,0,1,2,No
68,35,26,26,26,1,0,1,2,No
1005,2054,1027,1027,513.5,1,0,2,12,No
742,1406,572,106,28.6,3,12,20,145,Si
33,55,53,52,26.5,2,0,2,17,No
13,35,33,33,16.5,2,0,2,17,No
23,761,128,92,16,2,4,8,61,Si
9,133,80,79,40,1,0,2,19,No
42,60,60,60,60,1,0,1,12,No
531,192,182,110,30.33,2,5,6,30,Si
215,236,236,236,236,1,0,1,12,Si
485,192,153,61,17,2,7,9,90,Si
72,90,90,90,90,1,0,1,12,No
40,58,58,58,58,1,0,1,12,No
510,22,9,5,2.25,1,0,4,42,No
258,62,61,30,20.33,2,2,3,8,Si
674,303,197,48,19.7,3,7,10,61,Si
79,111,106,101,35.33,2,2,3,20,Si
136,164,161,157,53.67,1,2,3,20,Si
563,652,617,394,68.56,3,7,9,66,Si
14,30,30,30,30,1,0,1,4,No
382,414,407,397,135.67,2,1,3,37,Si
407,431,428,424,214,1,0,2,37,Si
1023,1071,1056,1029,528,1,0,2,37,Si
74,92,92,92,92,1,0,1,4,No
332,359,357,357,178.5,1,0,2,37,Si
205,52,49,26,16.33,2,3,3,16,Si
220,201,126,75,31.5,1,3,4,19,Si
40,235,74,36,14.8,1,2,5,34,Si
240,64,43,33,14.33,2,2,3,34,Si
242,273,6,6,3,2,2,2,27,Si
163,17,8,4,2.67,2,2,3,48,Si
41,22,13,13,13,1,1,1,10,Si
130,103,30,19,5,3,5,6,74,Si
109,94,59,37,11.8,2,4,5,66,Si
68,43,23,23,23,1,1,1,10,Si
334,99,76,76,38,2,2,2,27,Si
148,22,20,10,6.67,2,3,3,32,Si
1143,135,131,126,65.5,1,2,2,19,Si
115,147,4,3,1.33,2,3,3,18,Si
164,11,4,3,2,2,2,2,11,Si
238,70,55,44,18.33,2,2,3,16,Si
145,172,169,166,84.5,1,2,2,14,Si
357,421,400,227,100,3,1,4,43,Si
230,277,263,143,52.6,3,3,5,46,Si
552,268,151,105,25.17,3,6,6,20,Si
265,42,36,23,9,3,3,4,32,Si
880,245,207,165,69,1,1,3,20,Si
710,77,55,31,18.33,1,0,3,43,No
221,129,101,47,33.67,1,2,3,13,Si
19,40,40,40,40,1,1,1,5,Si
487,581,545,378,77.86,3,2,7,48,Si
298,345,332,317,110.67,2,3,3,32,Si
197,239,227,177,75.67,1,1,3,9,Si
253,297,284,260,142,1,0,2,8,No
433,617,534,425,106.8,3,1,5,16,Si
198,224,220,211,55,2,1,4,10,Si
131,68,63,58,31.5,2,1,2,41,Si
165,208,202,195,101,1,2,2,23,Si
302,325,323,298,161.5,1,2,2,18,Si
73,10,5,3,2.5,2,2,2,27,Si
144,163,163,133,54.33,1,3,3,22,Si
635,667,666,665,333,1,0,2,25,No
299,91,86,47,28.67,2,0,3,20,No
146,13,13,13,13,1,0,1,12,No
124,19,9,9,9,1,0,1,12,No
663,144,120,38,30,1,2,4,24,Si
6521,12700,6428,6428,6428,1,0,1,12,Si
465,70,62,50,31,1,0,2,45,No
70,3,3,3,3,1,0,1,12,No
728,46,43,29,14.33,1,0,3,60,Si
63,20,18,18,18,1,0,1,12,No
225,241,241,241,241,1,0,1,12,No
108,12,12,12,12,1,0,1,12,No
22,4,0,0,0,1,1,1,10,Si
115,8,3,3,3,1,1,1,10,Si
242,8,4,4,4,1,1,1,10,Si
318,351,345,336,115,2,3,3,23,Si
132,6,3,3,3,1,1,1,10,Si
164,18,17,15,5.67,2,3,3,22,Si
108,127,127,127,127,1,1,1,1,Si
19,37,37,37,37,1,0,1,3,No
9,27,27,27,27,1,0,1,3,No
29,48,48,48,48,1,0,1,3,No
13,32,32,32,32,1,0,1,5,No
47,82,74,69,37,1,0,2,13,No
65,148,118,113,59,1,0,2,13,Si
30,58,55,53,27.5,1,0,2,13,Si
766,894,841,712,120.14,3,5,7,47,Si
189,210,210,127,70,2,4,3,9,Si
558,14,11,8,5.5,1,0,2,48,Si
51,3,3,3,3,1,0,1,15,No
56,8,8,8,8,1,0,1,15,No
35,53,52,51,26,1,0,2,48,No
13,31,31,31,31,1,0,1,15,No
61,9,9,9,9,1,0,1,15,Si
152,14,14,14,14,1,0,1,15,Si
65,11,10,10,10,1,0,1,15,Si
59,77,77,77,77,1,0,1,15,Si
45,63,63,63,63,1,0,1,15,No
177,195,193,190,96.5,1,0,2,48,Si
144,1,1,1,1,1,0,1,15,No
46,64,64,64,64,1,0,1,15,No
27,45,45,45,45,1,0,1,15,No
779,110,91,73,22.75,2,3,4,43,Si
77,25,25,25,25,1,1,1,8,Si
114,132,132,132,132,1,1,1,5,Si
146,167,167,167,167,1,1,1,5,Si
56,77,77,77,77,1,1,1,5,Si
260,11,11,11,11,1,1,1,13,Si
149,8,5,5,5,1,1,1,13,Si
145,6,5,4,2.5,2,2,2,27,Si
53,74,74,74,74,1,1,1,1,Si
555,602,589,550,196.33,2,1,3,35,Si
164,237,212,183,53,2,4,4,28,Si
69,91,91,91,91,1,0,1,8,Si
91,28,14,14,14,1,0,1,8,No
350,2,1,1,1,1,0,1,8,No
156,30,21,11,10.5,1,0,2,41,No
116,6,4,4,4,1,0,1,8,No
58,2,1,1,1,1,0,1,8,No
17,36,36,36,36,1,0,1,0,No
345,462,293,282,146.5,2,0,2,6,Si
34,55,55,55,55,1,1,1,6,Si
149,81,59,59,59,1,0,1,5,No
48,12,12,12,12,1,1,1,2,Si
47,9,9,9,9,1,1,1,6,Si
256,272,272,272,272,1,1,1,6,Si
141,12,9,6,4.5,2,1,2,38,Si
189,5,5,5,5,1,0,1,24,No
80,2,1,1,1,1,0,1,24,No
70,4,2,2,2,1,0,1,24,No
45,1,1,1,1,1,0,1,24,No
123,12,11,11,11,1,1,1,0,Si
120,3,3,3,3,1,0,1,33,Si
125,4,4,4,4,1,0,1,33,Si
174,17,15,15,15,1,0,1,33,Si
326,78,42,42,42,1,0,1,33,No
119,5,5,5,5,1,0,1,33,No
40,6,3,3,3,1,0,1,33,No
27,2,1,1,1,1,0,1,33,No
16,2,1,1,1,1,0,1,33,No
69,4,4,4,4,1,0,1,33,No
20,4,2,2,2,1,0,1,33,No
16,2,1,1,1,1,0,1,33,No
19,2,1,1,1,1,0,1,33,No
45,1,1,1,1,1,0,1,33,No
114,1,1,1,1,1,0,1,33,No
245,3,2,2,2,1,0,1,33,No
194,27,19,9,6.33,1,3,3,14,Si
95,12,10,10,5,2,2,2,20,Si
124,22,12,12,12,1,1,1,14,Si
55,3,2,2,2,1,1,1,14,Si
113,8,7,7,7,1,1,1,4,Si
343,16,5,5,5,1,1,1,4,Si
