Dataset; #Training; %Training; %DefectTraining; %DefectTesting; Classifier; Balancing; FeatureSelection; TP; FP; TN; FN; Precision; Recall; ROC Area; Kappa
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;NaiveBayes;SMOTE;Yes;98.0;11.0;4.0;13.0;0.8990825688073395;0.8828828828828829;0.6921921921921922;0.14139693356047706
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;IBK;NO SAMPLING;No;30.0;4.0;1.0;7.0;0.8823529411764706;0.8108108108108109;0.5054054054054054;0.008583690987124613
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;RandomForest;NO SAMPLING;No;66.0;9.0;1.0;8.0;0.88;0.8918918918918919;0.6006756756756757;-0.008474576271186174
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;NaiveBayes;NO SAMPLING;No;103.0;14.0;1.0;8.0;0.8803418803418803;0.9279279279279279;0.675975975975976;-0.006535947712418735
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;IBK;OVERSAMPLING;No;29.0;3.0;2.0;8.0;0.90625;0.7837837837837838;0.5216216216216216;0.12830188679245286
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;RandomForest;OVERSAMPLING;No;61.0;8.0;2.0;13.0;0.8840579710144928;0.8243243243243243;0.6189189189189189;0.01999999999999981
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;NaiveBayes;OVERSAMPLING;No;98.0;13.0;2.0;13.0;0.8828828828828829;0.8828828828828829;0.7051051051051052;0.01621621621621623
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;IBK;UNDERSAMPLING;No;26.0;2.0;3.0;11.0;0.9285714285714286;0.7027027027027027;0.6513513513513514;0.1702127659574468
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;RandomForest;UNDERSAMPLING;No;61.0;7.0;3.0;13.0;0.8970588235294118;0.8243243243243243;0.672972972972973;0.09871244635193116
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;NaiveBayes;UNDERSAMPLING;No;98.0;12.0;3.0;13.0;0.8909090909090909;0.8828828828828829;0.7351351351351352;0.08056042031523647
AVRO;6;0.9158316633266533;0.2713347921225383;0.11904761904761904;IBK;SMOTE;No;28.0;4.0;1.0;9.0;0.875;0.7567567567567568;0.4783783783783784;-0.03018867924528318
