Release; File; Size; LocTouched; LocAdded; MaxLocAdded; AvgLocAdded; Nauth; Nfix; Nr; ChgSetSize; Buggy
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/BookieRecoveryTest.java;379;400;400;400;400;1;0;1;206;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/CloseTest.java;51;74;74;74;74;1;0;1;206;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java;157;178;178;178;178;1;0;1;206;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java;141;163;163;163;163;1;0;1;206;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java;66;88;88;88;88;1;0;1;206;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java;93;117;117;117;117;1;0;1;206;No
1;bookkeeper/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java;41;60;60;60;60;1;0;1;206;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java;28;64;56;48;18.67;2;0;3;403;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java;44;71;67;63;33.5;2;0;2;376;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java;218;277;257;237;128.5;2;0;2;376;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java;117;145;139;133;46.33;2;0;3;403;Si
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java;121;163;150;136;37.5;2;0;4;495;Si
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java;161;185;181;176;60.33;2;0;3;468;Si
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java;30;48;47;46;23.5;2;0;2;376;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java;112;146;137;127;27.4;3;1;5;495;Si
1;hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java;133;155;152;148;50.67;2;0;3;468;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java;35;60;59;58;29.5;2;0;2;376;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java;125;155;152;149;76;2;1;2;376;Si
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java;53;82;78;74;39;2;0;2;376;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java;17;37;37;37;37;1;0;1;206;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java;17;42;40;38;20;2;0;2;376;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java;17;41;40;39;20;2;0;2;376;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java;72;118;107;95;26.75;2;0;4;495;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java;67;94;91;87;30.33;2;0;3;468;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java;55;85;78;70;19.5;2;0;4;495;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java;91;132;123;113;30.75;2;0;4;495;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java;320;492;414;329;69;3;0;6;495;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java;68;102;93;83;23.25;2;0;4;495;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java;42;68;63;58;21;2;0;3;403;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java;107;137;130;122;32.5;2;0;4;495;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClient.java;340;380;370;359;123.33;2;0;3;468;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java;212;255;243;224;48.6;2;0;5;495;Si
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java;567;704;645;585;161.25;2;0;4;495;Si
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java;350;414;390;365;78;2;0;5;503;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java;83;117;108;98;27;2;0;4;495;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java;25;41;41;41;41;1;0;1;206;No
1;hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java;50;92;79;65;39.5;2;0;2;376;No
1;hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java;38;56;55;45;18.33;3;0;3;414;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java;28;55;51;47;25.5;2;0;2;376;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java;167;223;203;185;50.75;3;0;4;472;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java;33;49;49;49;49;1;0;1;206;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Either.java;34;50;50;50;50;1;0;1;206;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java;82;102;100;97;50;2;0;2;298;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java;114;138;138;138;138;1;0;1;206;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Option.java;27;43;43;43;43;1;0;1;206;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java;26;42;42;42;42;1;0;1;206;No
1;hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java;40;56;56;56;56;1;0;1;206;No
1;hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java;33;53;52;51;26;2;0;2;376;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java;25;41;41;41;41;1;0;1;206;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java;88;118;111;104;55.5;2;0;2;376;No
1;hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java;38;54;54;54;54;1;0;1;206;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java;146;164;163;162;81.5;2;1;2;376;Si
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java;137;157;155;153;77.5;2;0;2;376;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java;27;43;43;43;43;1;0;1;206;No
1;hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java;25;43;42;41;21;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java;89;207;156;104;52;2;0;3;468;Si
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java;89;191;148;103;29.6;3;0;5;532;Si
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java;76;160;126;91;31.5;3;0;4;484;Si
1;hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java;85;201;151;100;50.33;2;0;3;468;Si
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java;29;45;45;45;45;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java;273;291;290;289;145;2;4;2;376;Si
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java;16;38;35;31;17.5;2;0;2;298;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java;95;111;111;111;111;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java;19;37;36;35;18;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java;65;81;81;81;81;1;1;1;206;Si
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java;11;27;27;27;27;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java;12;28;28;28;28;1;0;1;206;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java;13;31;30;29;15;2;0;2;376;Si
1;hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java;550;634;600;561;150;3;3;4;468;Si
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java;48;96;80;64;40;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java;13;31;30;29;15;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java;48;66;65;64;32.5;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java;21;43;40;37;20;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java;52;90;79;68;39.5;2;0;2;376;Si
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java;138;176;165;153;55;2;0;3;468;Si
1;hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java;56;74;73;72;36.5;2;0;2;376;Si
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java;369;415;400;364;66.67;3;1;6;523;Si
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java;60;80;78;76;39;2;0;2;376;No
1;hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java;143;167;163;158;54.33;2;0;3;468;Si
