Release; File; Size; LocTouched; LocAdded; MaxLocAdded; AvgLocAdded; Nauth; Nfix; Nr; ChgSetSize; Buggy
1;src/java/org/apache/avro/io/BinaryDecoder.java;271;310;305;305;152.5;1;0;2;33;No
1;src/java/org/apache/avro/io/BinaryEncoder.java;217;282;266;266;133;1;0;2;33;No
1;src/java/org/apache/avro/io/BlockingBinaryEncoder.java;600;10;5;5;5;1;0;1;20;No
1;src/java/org/apache/avro/io/Decoder.java;258;276;46;36;23;1;0;2;33;No
1;src/java/org/apache/avro/io/Encoder.java;242;221;38;29;19;1;0;2;33;No
1;src/test/java/org/apache/avro/io/TestBinaryDecoder.java;62;20;10;10;10;1;0;1;20;No
1;src/java/org/apache/avro/io/ParsingTable.java;364;383;383;383;383;1;0;1;13;No
1;src/java/org/apache/avro/io/ResolvingDecoder.java;193;223;223;223;223;1;0;1;13;No
1;src/java/org/apache/avro/io/ResolvingTable.java;458;489;489;489;489;1;0;1;13;No
1;src/java/org/apache/avro/io/ValidatingDecoder.java;338;358;358;358;358;1;0;1;13;No
1;src/java/org/apache/avro/io/ValidatingEncoder.java;205;225;225;225;225;1;0;1;13;No
1;src/test/java/org/apache/avro/io/TestParsingTable.java;206;222;222;205;111;1;0;2;17;No
1;src/test/java/org/apache/avro/io/TestResolvingIO.java;344;360;360;343;180;1;0;2;17;No
1;src/test/java/org/apache/avro/io/TestResolvingTable.java;390;406;406;389;203;1;0;2;17;No
1;src/test/java/org/apache/avro/io/TestValidatingIO.java;631;647;647;630;323.5;1;0;2;17;No
2;src/java/org/apache/avro/reflect/ReflectData.java;287;125;93;40;23.25;1;1;4;92;Si
2;src/java/org/apache/avro/reflect/ReflectDatumReader.java;98;22;11;6;3.67;1;0;3;70;No
2;src/java/org/apache/avro/reflect/ReflectDatumWriter.java;46;62;30;16;4.29;1;1;7;127;Si
2;src/test/java/org/apache/avro/TestReflect.java;139;150;125;69;31.25;1;1;4;46;Si
2;src/java/org/apache/avro/generic/GenericDatumReader.java;445;21;11;5;2.75;1;0;4;105;No
2;src/java/org/apache/avro/generic/GenericDatumWriter.java;174;101;20;11;6.67;1;0;3;50;No
2;src/java/org/apache/avro/io/Decoder.java;250;17;5;3;1.67;1;0;3;85;No
2;src/java/org/apache/avro/io/JsonDecoder.java;381;433;416;397;138.67;1;0;3;88;No
2;src/java/org/apache/avro/io/JsonEncoder.java;223;255;248;239;82.67;1;0;3;88;Si
2;src/java/org/apache/avro/io/ParsingDecoder.java;57;75;75;74;37.5;1;0;2;83;No
2;src/java/org/apache/avro/io/ParsingEncoder.java;52;70;70;52;23.33;1;0;3;84;No
2;src/java/org/apache/avro/io/ParsingTable.java;364;383;0;0;0;1;0;1;23;No
2;src/java/org/apache/avro/io/ResolvingDecoder.java;173;157;69;68;34.5;1;0;2;83;No
2;src/java/org/apache/avro/io/ResolvingTable.java;458;489;0;0;0;1;0;1;23;No
2;src/java/org/apache/avro/io/ValidatingDecoder.java;210;280;76;75;38;1;0;2;83;No
2;src/java/org/apache/avro/io/ValidatingEncoder.java;183;188;83;82;41.5;1;0;2;83;No
2;src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java;83;103;103;102;51.5;1;0;2;83;Si
2;src/java/org/apache/avro/io/parsing/Parser.java;125;149;147;144;73.5;1;0;2;83;Si
2;src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java;318;340;339;337;113;1;0;3;88;No
2;src/java/org/apache/avro/io/parsing/SkipParser.java;74;99;97;94;48.5;1;0;2;83;No
2;src/java/org/apache/avro/io/parsing/Symbol.java;363;383;383;382;191.5;1;0;2;83;Si
2;src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java;120;141;140;138;46.67;1;0;3;88;No
2;src/test/java/org/apache/avro/TestSchema.java;276;93;76;37;19;1;0;4;64;Si
2;src/test/java/org/apache/avro/io/TestParsingTable.java;206;222;0;0;0;1;0;1;23;No
2;src/test/java/org/apache/avro/io/TestResolvingIO.java;197;533;193;153;96.5;1;0;2;37;No
2;src/test/java/org/apache/avro/io/TestResolvingTable.java;390;406;0;0;0;1;0;1;23;No
